id,name,plan_type,hsa_eligible,individual_medical_deductible,family_medical_deductible,plan_coinsurance,premium,child_eyewear,child_eye_exam,child_dental,level,plan_levels
89942GA0070033,KP GA Signature Silver Virtual Complete 5500,HMO,False,5500,11000,40,968.67,0,50,0,silver,1.0
89942GA0070025,KP GA Signature Silver 4500/35,HMO,False,4500,9000,35,1047.95,0,35,0,silver,1.0
89942GA0070017,KP GA Signature Silver 3400 Ded/500 Rx Ded,HMO,False,3400,6800,40,1081.54,0,30,0,silver,1.0
89942GA0070031,KP GA Signature Silver Virtual Complete 5000,HMO,False,5000,10000,30,1002.74,0,40,0,silver,1.0
89942GA0150004,KP GA Signature Standard Silver 5000/40,HMO,False,5000,10000,40,1031.82,0,40,0,silver,1.0
89942GA0130004,KP GA Signature Standard Silver 5000/40,HMO,False,5000,10000,40,1129.68,0,40,0,silver,1.0
89942GA0130002,KP GA Signature Standard Gold 1500/30,HMO,False,1500,3000,25,1223.21,0,30,0,gold,5.0
89942GA0150002,KP GA Signature Standard Gold 1500/30,HMO,False,1500,3000,25,1226.63,0,30,0,gold,5.0
43802GA0040030,UHC Gold Standard,HMO,False,1500,3000,25,1807.36,25,0,0,gold,5.0
43802GA0040031,UHC Silver Copay Focus $0 Indiv Med Ded,HMO,False,0,0,30,1682.91,30,0,0,silver,3.0
43802GA0040036,UHC Silver Standard,HMO,False,5000,10000,40,1666.15,40,0,0,silver,1.0
43802GA0040034,UHC Silver Value ($3 Tier 2 Rx),HMO,False,3000,6000,40,1675.58,40,0,0,silver,1.0
43802GA0040044,UHC Silver Advantage ($3 Tier 2 Rx),HMO,False,2750,5500,30,1683.52,30,0,0,silver,1.0
43802GA0040045,UHC Gold Value,HMO,False,1500,3000,20,1778.29,20,0,0,gold,5.0
43802GA0040054,UHC Gold Advantage,HMO,False,1100,2200,20,1875.26,20,0,0,gold,5.0
43802GA0070001,"UHC Silver Advantage+ ($3 Tier 2 Rx, Dental + Vision)",HMO,False,2750,5500,30,1725.74,30,0,0,silver,1.0
