id,name,plan_type,hsa_eligible,individual_medical_deductible,family_medical_deductible,plan_coinsurance,premium,child_eyewear,child_eye_exam,child_dental,level,plan_levels
70893GA0060014,Standard Gold SELECT Wellstar,HMO,False,1500,3000,25,1753.01,0,0,0,gold,5.0
70893GA0060013,Standard Silver SELECT Wellstar,HMO,False,5000,10000,40,1681.06,0,0,0,silver,1.0
70893GA0010077,Standard Silver,HMO,False,5000,10000,40,1830.06,0,0,0,silver,1.0
70893GA0010074,Elite Gold,HMO,False,0,0,30,2134.79,0,0,0,gold,5.0
70893GA0010071,Everyday Gold,HMO,False,750,1500,35,1901.05,0,0,0,gold,5.0
70893GA0010078,Standard Gold,HMO,False,1500,3000,25,1908.38,0,0,0,gold,5.0
70893GA0030017,Complete Silver + Vision + Adult Dental,HMO,False,6000,12000,40,1903.77,0,0,0,silver,1.0
70893GA0030070,Focused Silver + Vision + Adult Dental,HMO,False,6300,12600,50,1898.9,0,0,0,silver,1.0
70893GA0030020,Complete Gold + Vision + Adult Dental,HMO,False,1450,2900,20,2013.63,0,0,0,gold,5.0
70893GA0030074,Clear Gold + Vision + Adult Dental,HMO,False,900,1800,30,1924.8,0,0,0,gold,5.0
70893GA0030071,Everyday Gold + Vision + Adult Dental,HMO,False,750,1500,35,1955.36,0,0,0,gold,5.0
70893GA0030077,Standard Silver + Vision + Adult Dental,HMO,False,5000,10000,40,1882.35,0,0,0,silver,1.0
70893GA0030078,Standard Gold + Vision + Adult Dental,HMO,False,1500,3000,25,1962.89,0,0,0,gold,5.0
70893GA0030075,Elite Gold + Vision + Adult Dental,HMO,False,0,0,30,2195.8,0,0,0,gold,5.0
70893GA0010017,Complete Silver,HMO,False,6000,12000,40,1850.9,0,0,0,silver,1.0
70893GA0010020,Complete Gold,HMO,False,1450,2900,20,1957.69,0,0,0,gold,5.0
70893GA0010068,Clear Silver with $0 Insulin Options,HMO,False,6500,13000,0,1815.67,0,0,0,silver,1.0
70893GA0010070,Focused Silver,HMO,False,6300,12600,50,1846.15,0,0,0,silver,1.0
70893GA0010073,Clear Gold,HMO,False,900,1800,30,1871.34,0,0,0,gold,5.0
15105GA0020008,Connect Silver 7000 Indiv Med Deductible,HMO,False,7000,14000,50,2094.92,0,0,0,silver,1.0
15105GA0020007,Connect Silver 5000 Indiv Med Deductible,HMO,False,5000,10000,40,2113.47,0,0,0,silver,1.0
15105GA0020006,Connect Silver 3700 Indiv Med Deductible,HMO,False,3700,7400,40,2098.34,0,0,0,silver,1.0
15105GA0020010,Connect Silver 2700 Indiv Med Deductible Enhanced Diabetes Care,HMO,False,2700,5400,40,2112.51,0,0,0,silver,1.0
